epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3512.53,1.61171,2.29471,1.76504,0.38916,0.30422,0.25309,0.1089,1.98541,2.32801,2.31699,0.0095941,0.0095941,0.0095941
43,3563.51,1.60741,2.24387,1.76607,0.46237,0.28742,0.29007,0.13098,2.00103,2.22094,2.26661,0.0095842,0.0095842,0.0095842
44,3616.16,1.58609,2.26133,1.75937,0.52403,0.34751,0.30955,0.14184,1.95536,2.16854,2.27253,0.0095743,0.0095743,0.0095743
45,3688.51,1.59077,2.2292,1.74163,0.40606,0.32338,0.29974,0.13264,1.97189,2.17518,2.26405,0.0095644,0.0095644,0.0095644
46,3770.34,1.58312,2.21703,1.74954,0.40344,0.33206,0.27809,0.12838,1.91826,2.3732,2.27657,0.0095545,0.0095545,0.0095545
47,3826.47,1.60293,2.21845,1.74836,0.56048,0.34514,0.30855,0.13806,1.96921,2.23344,2.29098,0.0095446,0.0095446,0.0095446
48,3875.24,1.59623,2.22312,1.76413,0.35666,0.304,0.27184,0.12038,1.95978,2.30168,2.2949,0.0095347,0.0095347,0.0095347
49,3956.98,1.60351,2.1966,1.75637,0.56438,0.33204,0.30597,0.14388,1.99304,2.18202,2.2756,0.0095248,0.0095248,0.0095248
50,4034.91,1.57674,2.17974,1.74335,0.37132,0.3317,0.30075,0.13789,2.01363,2.26055,2.33027,0.0095149,0.0095149,0.0095149
51,4105.15,1.58792,2.15713,1.73732,0.58515,0.30204,0.30165,0.13371,2.01059,2.1644,2.31873,0.009505,0.009505,0.009505
52,4165.07,1.58734,2.18916,1.74313,0.34761,0.3411,0.30084,0.13356,1.98184,2.22094,2.3225,0.0094951,0.0094951,0.0094951
53,4251.21,1.58626,2.13978,1.74477,0.40432,0.36505,0.31405,0.13981,2.02674,2.13869,2.32835,0.0094852,0.0094852,0.0094852
54,4325.32,1.56963,2.09713,1.71915,0.42485,0.32284,0.28064,0.122,2.0023,2.26208,2.30006,0.0094753,0.0094753,0.0094753
55,4393.1,1.56043,2.12416,1.72611,0.43119,0.30742,0.29955,0.12758,1.99778,2.31205,2.32886,0.0094654,0.0094654,0.0094654
56,4447.21,1.57573,2.09171,1.7381,0.58973,0.2731,0.32261,0.14355,1.98318,2.27101,2.2962,0.0094555,0.0094555,0.0094555
57,4527.67,1.566,2.10198,1.71706,0.47077,0.32049,0.32033,0.14665,1.97587,2.16192,2.28809,0.0094456,0.0094456,0.0094456
58,4604.69,1.56066,2.08873,1.71723,0.4511,0.34743,0.32044,0.14533,1.98692,2.15195,2.29392,0.0094357,0.0094357,0.0094357
59,4674.74,1.56266,2.04702,1.71234,0.49263,0.31035,0.31327,0.13427,2.05851,2.23739,2.32383,0.0094258,0.0094258,0.0094258
60,4724.08,1.53349,2.04091,1.6868,0.4959,0.35152,0.33874,0.15187,1.98224,2.13737,2.34217,0.0094159,0.0094159,0.0094159
61,4791.24,1.54482,2.02531,1.70552,0.44448,0.36407,0.34427,0.16001,1.99801,2.08936,2.32299,0.009406,0.009406,0.009406
62,4861.45,1.53845,2.04315,1.71206,0.45111,0.34459,0.3462,0.15538,2.01319,2.07548,2.2886,0.0093961,0.0093961,0.0093961
63,4949.53,1.54342,2.04865,1.69655,0.49336,0.32621,0.32503,0.14922,1.98157,2.20366,2.3024,0.0093862,0.0093862,0.0093862
64,5000.87,1.55972,2.00489,1.69692,0.47419,0.3409,0.3119,0.13904,1.98596,2.28877,2.34081,0.0093763,0.0093763,0.0093763
65,5059.85,1.53622,2.03517,1.68548,0.46361,0.33826,0.31435,0.13979,1.97659,2.16555,2.29565,0.0093664,0.0093664,0.0093664
66,5126.93,1.51159,1.99846,1.68102,0.42529,0.3902,0.32418,0.14763,1.97815,2.06644,2.32051,0.0093565,0.0093565,0.0093565
67,5214.42,1.52091,1.98068,1.68584,0.471,0.35177,0.34297,0.16042,1.98152,1.99667,2.28966,0.0093466,0.0093466,0.0093466
68,5269.22,1.52074,2.0271,1.68009,0.57646,0.34708,0.33924,0.15114,2.03793,2.01196,2.33232,0.0093367,0.0093367,0.0093367
69,5321.76,1.5104,1.94572,1.66856,0.48249,0.31471,0.30041,0.13453,2.03001,2.2516,2.32319,0.0093268,0.0093268,0.0093268
70,5400.74,1.51119,1.96952,1.66832,0.34359,0.30828,0.29599,0.13725,2.03762,2.19532,2.38375,0.0093169,0.0093169,0.0093169
71,5481.7,1.50957,1.92254,1.66022,0.53198,0.32072,0.32502,0.14912,2.01661,2.28608,2.35319,0.009307,0.009307,0.009307
72,5539.73,1.51646,1.93691,1.67334,0.49895,0.34259,0.3321,0.15444,1.96677,2.10873,2.30865,0.0092971,0.0092971,0.0092971
73,5589.52,1.49306,1.90198,1.66349,0.44225,0.32773,0.3381,0.15313,2.01143,2.11238,2.31635,0.0092872,0.0092872,0.0092872
74,5668.43,1.50472,1.91723,1.67194,0.48365,0.33954,0.33416,0.1492,1.99468,2.10436,2.29067,0.0092773,0.0092773,0.0092773
75,5737.78,1.4977,1.93128,1.66077,0.39221,0.34626,0.35046,0.15947,2.04406,2.05679,2.33579,0.0092674,0.0092674,0.0092674
76,5805.09,1.49323,1.89888,1.64827,0.5594,0.31443,0.34694,0.1559,2.02443,2.02692,2.31511,0.0092575,0.0092575,0.0092575
77,5861.55,1.49984,1.88625,1.65808,0.42905,0.38232,0.36251,0.16403,2.04007,2.02713,2.31994,0.0092476,0.0092476,0.0092476
78,5941.16,1.48767,1.85597,1.64899,0.4942,0.3652,0.35295,0.15813,2.02995,1.98522,2.32063,0.0092377,0.0092377,0.0092377
79,6008.69,1.47902,1.88072,1.64728,0.53965,0.35917,0.36205,0.16584,1.99768,2.04433,2.32432,0.0092278,0.0092278,0.0092278
80,6081.54,1.45855,1.83941,1.62307,0.47724,0.34266,0.32683,0.14519,2.02079,2.25709,2.38254,0.0092179,0.0092179,0.0092179
81,6133.12,1.49213,1.85523,1.65171,0.38355,0.38635,0.3395,0.15037,2.00816,2.01182,2.33424,0.009208,0.009208,0.009208
82,6217.64,1.45178,1.81677,1.61587,0.51246,0.39165,0.34846,0.16215,2.00168,1.99668,2.31048,0.0091981,0.0091981,0.0091981
83,6300.15,1.47131,1.83357,1.62896,0.43521,0.3601,0.34925,0.15362,2.05167,2.12312,2.36807,0.0091882,0.0091882,0.0091882
84,6375.43,1.4683,1.83766,1.62084,0.47164,0.35559,0.36488,0.1587,2.06224,2.01998,2.35383,0.0091783,0.0091783,0.0091783
85,6428.03,1.44702,1.80212,1.60964,0.46608,0.3546,0.37494,0.16813,2.03848,1.97635,2.34761,0.0091684,0.0091684,0.0091684
